글쓰기 지시문
환경을 보호하기 위한 방법을 설명하세요.

학생 정보
학년,초5
지역,서울
성별,여
출처,리딩엠

지시문 정보
분량,100
키워드,

학생 답변
"갈라파고스는 남아메리카 동태평양에 위치해 있으며 환경이 독특하다. 그래서 원시시대에서 살았던 생물들도 아직 살고 있다. 뿐만 아니라 독특한 환경에 맞춰 갈라파고스에 사는 생물들도 독특하다. 하지만 이런 곳에 요즘 많은 사람들이 갈라파고스의 아름다움을 보거나 멸종 위기에 처한 동물들을 잡아 팔아 돈을 벌기 위해 많이 방문한다. 이렇게 되자 갈라파고스에 살던 동물들이 멸종 위기에 처해졌다. 갈라파고스를 살릴 수 있는 방법은 없을까?

  먼저, 관광객 사람들수를 제한한다. 사람들이 갈라파고스의 땅에 닿는 순간, 사람들은 쓰레기를 버리고 담배를 피우는 등 당을 오염시킨다. 그리고 자신들의 이익을 위해 조개껍데기 등을 채취한다. 많은 사람들이 똑같은 짓을 반복하니 갈라파고스에 사는 생물이 멸종 위기에 처한 게 아닌가?

  갈라파고스를 '위험에 처한 세계 유산'으로 다시 지정한다. 세계 유산으로 다시 지정하면 아마 사람들이 갈라파고스를 관광할 때 조심히 다닐 것이고, 멸종 위기 동물들도 더이상 잡아가지 않을 것이다.

  멸종 위기에 처한 동물들을 연구해서 번식시킨다. 멸종 위기에 처하게 되면 동물들은 같은 종끼리 짝짓기를 못해 수가 늘어나지 않을 것이다. 그러므로 멸종 위기에 처한 동물들을 따로 보호해 번식을 시켜야 한다.

  우리가 갈라파고스를 보존해야 하는 까닭은 후손들을 위해서이다. 후손들도 갈라파고스의 멋진 모습을 볼 수 있고, 또한 멸종 위기 동물들이 끝까지 살아 남아 인류의 변화 발전하는 모습을 증명할 수 있기 때문이다. 또한 동식물들 그 자체의 생태계를 존중해지고 인간의 입장만을 고려하는 것이 아니라, 있는 그대로의 자연을 존중해주는 것도 중요하다."
